Uuid,Void/Retire,Frequency per day,Concept frequency
fb8068a0-7647-4aec-93d0-14658533dfdf,,1,37328251-6759-4270-8a2e-8cab2c0b315b
682a53f3-5614-4e64-88bd-42855cff4be3,,1,28231877-bbf2-45bb-b6dd-3d4b083fdde1
19c83062-7e1f-4d3f-8b97-335d089666bd,,1,023bee9c-2dbb-483c-8401-46f0ccf6b333
e08de81e-3bed-4471-a26f-180417d543d9,,2,586f1146-8737-4827-8cfa-3b72d71ebd8b
e51a7a00-7f29-410b-b8ab-2c3cd6a2a5ad,,3,46a4d3d6-86d0-491f-be00-d151246caec3
89765cb8-4539-45e5-90bb-9ac8272f8972,,4,bb025463-8631-4475-952d-1c5c83d8aa32
f96d8e96-754c-4858-980e-b53d7ff3fec1,,5,ee751fa5-1531-4722-ac64-f2e48898d989
bb3a1445-36c9-4fdb-a1bc-ca52a5c687a9,,6,b928c4d8-7b3f-40db-9a62-c98a3ba1c9aa
3a3c6594-a0c7-42c7-9027-b7ec2a4404e0,,7,9b0068ac-4104-4bea-ba76-851e5faa9f2a
227e3c01-5343-448e-9611-4af1336b2e4e,,8,7cc0fa66-0467-4552-8dd7-501f2b325319
902b2159-422d-4b3c-b71f-bda6ea5b7814,,9,f28e1f49-2b56-4639-9312-fbe856fa0c51
63c4bafb-ae18-4ce6-9cd3-13c4b7a54e51,,12,059ac2ba-ce52-41e5-bac5-46707bac285a
a0667be8-f9c0-4b5b-afcd-6bf29c6497fe,,8,f295e71a-0d7b-4a70-a193-2a6c3a73e9ed
34dbf28e-da5c-4c63-a7fd-451c9d33a59a,,6,4c443187-7db1-4678-81b5-83a0c4213cfa
26921f5f-2188-494e-af52-9373c54adca7,,4,513e8901-7909-4ad3-9bea-1874ed9a6ba2
0d99917c-ee7b-49e7-b55c-5d2457d9c40a,,2,894ef033-1135-4c52-8284-7de9b157e824
da558e86-3fbc-427a-8e4e-06d61c38d813,,,160857AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
8487d0db-3378-49b8-b24c-18f121dfbfd0,,,3cdc5794-26fe-102b-80cb-0017a47871b2